フェーズ,区分,ID,機能/カテゴリ,確認内容,優先理由,参照シート,実行状況,実行結果,メモ,実施方式,実施環境,自動化対象,前提データ,備考
編成/通知,テストケース,NF-010,通知・メール,JOB03: 認証失敗は 401/503。成功時は summary に sent/skipped/failed,JOB03主経路,Master_TestSpec,,,,local-integration,local,partial,cron secret・メール送信モック,JOB03
編成/通知,テストケース,TC-EX-CR-DBF-07,Cron｜前日最終（内部分岐）,variant=held（status confirmed）,前日最終の確定案内,Master_TestSpec,,,,local-integration,local,partial,confirmed 系 seed・通知,
編成/通知,テストケース,TC-EX-CR-DBF-10,Cron｜前日最終（内部分岐）,variant=pending_matching（status locked）,未確定日にも通知ロジックが成立,Master_TestSpec,,,,local-integration,local,partial,locked 系 seed,
通知再送,テストケース,NF-001,通知・メール,failed を pending に戻し再送可能（成功時は notifications と実メール）,failed再送の正規経路,Master_TestSpec,,,,local-integration,local,partial,failed 通知・再送用 seed,Resend モック推奨
通知再送,テストケース,MVP-NOTIF-401,通知一覧,未認証は 401,通知一覧保護,Master_TestSpec,,,,staging-smoke,staging,partial,なし（未認証GET）,通知一覧の未認証 401 は fetch のみで staging でも検証可能。staging-smoke.test.ts への追加が最短（現状は未収載のため partial）。追加 it 例: Cookie なしで GET /api/admin/notifications → 401
通知再送,テストケース,TC-EX-NR-200S,管理API｜notifications retry,再送結果 sent（lib）,failed→sentの確認,Master_TestSpec,,,,local-integration,local,partial,admin cookie または service role・failed→sent 用 seed,管理API
当日運用/例外操作,テストケース,CHK-001,管理API｜checkins,当日チェックインを新規登録できる,当日受付オペの成立,Master_TestSpec,,,,local-integration,local,partial,当日開催・チーム seed・admin,
当日運用/例外操作,テストケース,CHK-002,管理API｜checkins,同一開催日・同一チームの再登録は upsert され、重複行を作らない,重複チェックイン防止,Master_TestSpec,,,,local-integration,local,partial,同一開催日・チームの既存行,upsert 検証
当日運用/例外操作,テストケース,MRG-001,管理API｜team-merge,source team を target team へ統合できる,チーム重複整理の成立,Master_TestSpec,,,,local-integration,local,partial,2チーム・関連テーブル seed,データ破壊的のため staging 非推奨
当日運用/例外操作,テストケース,TC-EX-WX-200GO,管理API｜weather-decision,go 正常,天候判断の正常復帰,Master_TestSpec,,,,local-integration,local,partial,開催日・admin,
当日運用/例外操作,テストケース,TC-EX-WX-200CIM,管理API｜weather-decision,cancel immediate 正常,即時雨天中止と通知,Master_TestSpec,,,,local-integration,local,partial,同上,
当日運用/例外操作,テストケース,TC-EX-WX-200CDB,管理API｜weather-decision,cancel day_before_17 フラグ,前日17時予約の成立,Master_TestSpec,,,,local-integration,local,partial,同上,
当日運用/例外操作,テストケース,TC-EX-OP-200,管理API｜operational-cancel,正常中止,運営中止の正常経路,Master_TestSpec,,,,local-integration,local,partial,運営中止対象 seed・admin,
当日運用/例外操作,テストケース,TC-EX-OP-200IM,管理API｜operational-cancel,即時通知付き,即時通知付き運営中止,Master_TestSpec,,,,local-integration,local,partial,同上＋即時通知モック,
当日運用/例外操作,テストケース,TC-EX-UN-200,管理API｜matching undo,admin_undo_afternoon_matching: 成功,編成やり直しの正規経路,Master_TestSpec,,,,local-integration,local,partial,編成済みデータ・admin,
環境/運用前提,リリースゲート,P0,Release_Gate,Release_Gate の P0 項目をすべて完了にする,アプリが動いても環境未整備だと本番事故になるため,Release_Gate,"=IF(COUNTIF(Release_Gate!$D$2:$D$25,""P0"")=0,"""",IF(COUNTIFS(Release_Gate!$D$2:$D$25,""P0"",Release_Gate!$F$2:$F$25,""完了"")=COUNTIF(Release_Gate!$D$2:$D$25,""P0""),""完了"",IF(COUNTIFS(Release_Gate!$D$2:$D$25,""P0"",Release_Gate!$F$2:$F$25,""完了"")>0,""実施中"",""未着手"")))","=IF(COUNTIF(Release_Gate!$D$2:$D$25,""P0"")=0,"""",IF(COUNTIFS(Release_Gate!$D$2:$D$25,""P0"",Release_Gate!$G$2:$G$25,""FAIL"")+COUNTIFS(Release_Gate!$D$2:$D$25,""P0"",Release_Gate!$G$2:$G$25,""BLOCK"")>0,""FAIL"",IF(COUNTIFS(Release_Gate!$D$2:$D$25,""P0"",Release_Gate!$G$2:$G$25,""PASS"")=COUNTIF(Release_Gate!$D$2:$D$25,""P0""),""PASS"","""")))",環境変数、Cron、Supabase、Resend、前日運用、スモーク、セキュリティ,manual,both,no,Release_Gate シート連携,チェックリスト全体。自動化対象外
