SourceSet,機能,画面/API,ケースID,テストケース名,前提条件,入力,手順,期待結果,観点,元観点区分,種別,優先度,リリースゲート,自動化,実装参照,確認証跡,備考,実行状況,実行結果,担当,証跡リンク,MVP最小実施,実施順,有効_実行状況,有効_実行結果,実施方式,実施環境,自動化対象,前提データ,実行備考
reviewable,公開予約,POST /api/reservations,RSV-006,participant_count と meal_count の大小関係は独立し、meal_count が participant_count を上回っても予約できる,open・締切前・枠空き,"participantCount=10, mealCount=12",公開フォームから送信,201。reservations active と meal_orders 等が保存され、人数差のみでエラーにしない。完了画面と管理一覧の件数表示が整合する。,入力ルール整合,人数/昼食ルール,正常系,P0,MVP必須,可(一部),implemented-behavior-catalog.md / MVP和歌山システム開発設計書,HTTP / DB / 画面,participant_count は総参加人数、meal_count は昼食提供対象人数であり、多寡差では弾かない設計を確認する。,,,,,対象,2-06,"=IF($W12=""対象"",IFERROR(IF(xlookup($D12,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D12,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S12),$S12),$S12)","=IF($W12=""対象"",IFERROR(IF(xlookup($D12,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D12,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T12),$T12),$T12)",local-integration,local,partial,開催日・枠・締切前の seed / テストDB,POST /api/reservations と DB 整合。Staging はデータ汚染リスクのため local 推奨
reviewable,公開予約,POST /api/reservations,RSV-007,parking_count は 0 を許容し、負数は拒否される,open・締切前・枠空き,caseA: parkingCount=0 / caseB: parkingCount=-1,公開フォームまたは API 送信,caseA は 201。caseB は 4xx で保存されない。DB の parking_count に負値が入らない。,境界値,駐車台数境界,境界値,P1,リリース前推奨,可(一部),implemented-behavior-catalog.md / MVP和歌山システム開発設計書,HTTP / DB,当日運用で 0 台は通常ケースのため必須確認。負数の不正保存も防ぐ。,,,,,,,"=IF($W13=""対象"",IFERROR(IF(xlookup($D13,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D13,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S13),$S13),$S13)","=IF($W13=""対象"",IFERROR(IF(xlookup($D13,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D13,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T13),$T13),$T13)",local-integration,local,partial,seed により異なる,公開APIの状態依存ケース（ヒューリスティック）
reviewable,公開予約,同上 + POST /api/reservations,RSV-010,正常入力で 201・sessionStorage・/reserve/complete 遷移,open・枠空き・締切前,仕様通りの JSON（画面経由でも可）,確定送信,POST 201、reservationId と reservationToken 返却。sessionStorage に保存後 router.push。DB に reservations active。,完了画面との整合,完了画面との整合,正常系,P0,MVP必須,既存レビュー用データ,reserve-date-client.tsx:318-380 【リスク】画面だけ成功に見えて DB 無し（トークン欠落時は setSubmitError）。,HTTP / DB / 画面（ケース記述参照）,【分岐】performSubmit 成功パス 参照:reserve-date-client.tsx:318-380 【リスク】画面だけ成功に見えて DB 無し（トークン欠落時は setSubmitError）。,,,,,対象,2-07,"=IF($W14=""対象"",IFERROR(IF(xlookup($D14,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D14,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S14),$S14),$S14)","=IF($W14=""対象"",IFERROR(IF(xlookup($D14,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D14,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T14),$T14),$T14)",local-integration,both,partial,受付可能な開催日seed・枠空き（API/DB 側）。sessionStorage・画面遷移は別途 manual/E2E,【切り分け】①HTTP 201・レスポンス body・DB 整合（予約行・関連テーブル）→ local-integration（API route / integration テスト）で自動化するのが第一。②sessionStorage への保存・/reserve/complete への画面遷移・表示確認 → manual または Playwright 等の E2E で別スイートとして扱う。①のみではケース完了扱いにしない運用推奨。
reviewable,公開予約,reserve-date-client.tsx,RSV-011,二重送信: submitting 中は連打しても fetch が重複しない,ネットワーク遅延モック,確定ボタン連打,DevTools でリクエスト数,POST は 1 回（UI がブロック）。,二重送信,二重送信,冪等性,P0,MVP必須,既存レビュー用データ,328-354,HTTP / DB / 画面（ケース記述参照）,【分岐】setSubmitting(true) 【リスク】二重予約・token 競合（サーバ側 RPC でも抑止あるが UI でも抑止）。 参照:328-354,,,,,対象,2-08,"=IF($W15=""対象"",IFERROR(IF(xlookup($D15,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D15,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S15),$S15),$S15)","=IF($W15=""対象"",IFERROR(IF(xlookup($D15,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D15,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T15),$T15),$T15)",manual,local,partial,DevTools Network 推奨,連打時の fetch 重複抑止はブラウザ操作が主
reviewable,公開予約,POST /api/reservations + rate limit,RSV-012,短時間連打で 429（API 側レート制限）,同一 IP,自動リピート POST,—,429、Retry-After。DB に余分な行が増えない（理想）。,連打・攻撃,連打・攻撃,異常系,P1,リリース前推奨,既存レビュー用データ,reservations/route.ts 【リスク】バーストでシステム負荷・不正利用。旧 TC-PUB-RSV レート行と統合。,HTTP / DB / 画面（ケース記述参照）,【分岐】rateLimitReservationCreate 参照:reservations/route.ts 【リスク】バーストでシステム負荷・不正利用。旧 TC-PUB-RSV レート行と統合。,,,,,,,"=IF($W16=""対象"",IFERROR(IF(xlookup($D16,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D16,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S16),$S16),$S16)","=IF($W16=""対象"",IFERROR(IF(xlookup($D16,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D16,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T16),$T16),$T16)",local-integration,local,partial,seed により異なる,公開APIの状態依存ケース（ヒューリスティック）
reviewable,公開予約,/reserve/complete/page.tsx,RSV-013,完了ページは sessionStorage 無しだと案内にフォールバック,直接 /reserve/complete にアクセス,なし,GET,hydrated 後、見出し「予約完了」と文言「表示できる予約情報がありません。予約直後の画面のみ表示されます。」リンク（予約手続き・トップ）のみ。GET /api/reservations は呼ばれない。DB は不変。,画面と DB の整合（直リンク）,画面と DB の整合（直リンク）,整合性,P1,リリース前推奨,既存レビュー用データ,reserve/complete/page.tsx:141-162 【リスク】ブックマークで「予約できた」と誤解→問い合わせ。,HTTP / DB / 画面（ケース記述参照）,【分岐】!stored 参照:reserve/complete/page.tsx:141-162 【リスク】ブックマークで「予約できた」と誤解→問い合わせ。,,,,,,,"=IF($W17=""対象"",IFERROR(IF(xlookup($D17,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D17,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S17),$S17),$S17)","=IF($W17=""対象"",IFERROR(IF(xlookup($D17,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D17,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T17),$T17),$T17)",manual,both,no,個別確認,デフォルト分類（必要なら BY_CASE_ID に追加）
reviewable,公開予約,POST /api/reservations,RSV-020,締切後は 409（event_not_open / deadline_passed）,locked または締切過去 open,合法 JSON,POST,409、本文「現在は予約を受け付けていません」。DB に新規行なし。,状態遷移,状態遷移,状態遷移,P0,MVP必須,既存レビュー用データ,reservations/route.ts 【リスク】締切後に枠だけ埋まる不正予約。,HTTP / DB / 画面（ケース記述参照）,【分岐】mapRpcError 参照:reservations/route.ts 【リスク】締切後に枠だけ埋まる不正予約。,,,,,対象,2-09,"=IF($W18=""対象"",IFERROR(IF(xlookup($D18,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D18,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S18),$S18),$S18)","=IF($W18=""対象"",IFERROR(IF(xlookup($D18,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D18,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T18),$T18),$T18)",local-integration,local,partial,締切後の open 開催日 seed,409 とメッセージの確認
reviewable,公開予約,POST /api/reservations,RSV-021,満枠・枠ロックは 409（slot_full / slot_locked / day_full）,定員ちょうど／locked 枠,合法 JSON,POST,409、定員系メッセージ。DB 増えない。,定員超過,定員超過,境界値,P0,MVP必須,既存レビュー用データ,create_public_reservation RPC / route mapRpcError,HTTP / DB / 画面（ケース記述参照）,参照:create_public_reservation RPC / route mapRpcError,,,,,対象,2-10,"=IF($W19=""対象"",IFERROR(IF(xlookup($D19,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D19,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S19),$S19),$S19)","=IF($W19=""対象"",IFERROR(IF(xlookup($D19,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D19,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T19),$T19),$T19)",local-integration,local,partial,満枠・ロック状態の seed,Staging では再現コストが高い
reviewable,公開予約,POST /api/reservations,RSV-022,不正 UUID（開催日・枠）で 404 系,—,ランダム UUID の eventDayId,POST,404「対象が見つかりません」。,不正 ID,不正 ID,異常系,P0,MVP必須,既存レビュー用データ,route mapRpcError,HTTP / DB / 画面（ケース記述参照）,【分岐】event_not_found / slot_invalid 参照:route mapRpcError,,,,,対象,2-11,"=IF($W20=""対象"",IFERROR(IF(xlookup($D20,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D20,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S20),$S20),$S20)","=IF($W20=""対象"",IFERROR(IF(xlookup($D20,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D20,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T20),$T20),$T20)",local-integration,local,yes,なし（不正UUID）,API のみなら local の route テストで可
reviewable,公開予約,POST /api/reservations,RSV-023,draft 等（公開ステータス外）は RPC で受付不可（409 等、実装準拠）,非公開開催日 ID が分かる場合,合法 JSON（draft 開催日の eventDayId）,POST,予約行が作られない。HTTP は mapRpcError 準拠。,非公開データ,非公開データ,状態遷移,P0,MVP必須,既存レビュー用データ,,HTTP / DB / 画面（ケース記述参照）,詳細コードは RPC 返却に依存（要確認: エラーコード表と一致確認）。,,,,,対象,2-12,"=IF($W21=""対象"",IFERROR(IF(xlookup($D21,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D21,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S21),$S21),$S21)","=IF($W21=""対象"",IFERROR(IF(xlookup($D21,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D21,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T21),$T21),$T21)",local-integration,local,partial,draft 等ステータスの開催日 seed,非公開日の拒否
reviewable,公開予約,POST /api/reservations,RSV-024,サーバ 500 時は画面上 submitError にメッセージ、DB は増えていない,DB 障害シミュレーション,正常 JSON,POST,クライアントにエラー表示。complete へ遷移しない。,利用者視点の失敗表示,利用者視点の失敗表示,異常系,P1,リリース前推奨,既存レビュー用データ,performSubmit res.ok 偽 参照:reserve-date-client.tsx:356-358,HTTP / DB / 画面（ケース記述参照）,参照:performSubmit res.ok 偽 参照:reserve-date-client.tsx:356-358,,,,,,,"=IF($W22=""対象"",IFERROR(IF(xlookup($D22,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D22,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S22),$S22),$S22)","=IF($W22=""対象"",IFERROR(IF(xlookup($D22,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D22,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T22),$T22),$T22)",local-integration,local,partial,seed により異なる,公開APIの状態依存ケース（ヒューリスティック）
reviewable,管理API｜checkins,POST/UPSERT /api/admin/checkins,CHK-001,当日チェックインを新規登録できる,管理者ログイン済み・対象開催日と予約チームあり,"team_id, actual_participant_count, actual_meal_count, memo",当日一覧または API からチェックイン登録,200/201 相当で checkins に1件作成。checked_in_at が保存され、当日一覧に反映される。,当日運用,チェックイン新規,正常系,P0,MVP必須,可(E2E),MVP和歌山システム開発設計書,HTTP / DB / 管理画面,MVP中心機能の当日チェックインがブック上で未カバーだったため追加。,,,,,対象,6-01,"=IF($W23=""対象"",IFERROR(IF(xlookup($D23,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D23,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S23),$S23),$S23)","=IF($W23=""対象"",IFERROR(IF(xlookup($D23,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D23,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T23),$T23),$T23)",local-integration,local,partial,当日開催・チーム seed・admin,
reviewable,管理API｜checkins,POST/UPSERT /api/admin/checkins,CHK-002,同一開催日・同一チームの再登録は upsert され、重複行を作らない,管理者ログイン済み・既存 checkin あり,同一 event_day_id + team_id で actual_participant_count と actual_meal_count を変更,再度チェックイン保存,"checkins は1件のまま更新される。UNIQUE(event_day_id, team_id) を破らず、最新値と更新者が反映される。",冪等性,チェックイン更新,整合性,P0,MVP必須,可(E2E),MVP和歌山システム開発設計書,HTTP / DB,現場で再入力が起きても二重チェックインにならないことを確認。,,,,,対象,6-02,"=IF($W24=""対象"",IFERROR(IF(xlookup($D24,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D24,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S24),$S24),$S24)","=IF($W24=""対象"",IFERROR(IF(xlookup($D24,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D24,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T24),$T24),$T24)",local-integration,local,partial,同一開催日・チームの既存行,upsert 検証
reviewable,管理API｜team-merge,POST /api/admin/teams/merge,MRG-001,source team を target team へ統合できる,管理者ログイン済み・重複 team 2件・確定処理と競合していない,"source_team_id, target_team_id, reason",統合を実行,reservations / match_assignments / checkins の参照 team_id が target に付け替わる。source は停止状態で残り、team_merge_logs に記録される。,名寄せ補正,team簡易マージ,正常系,P0,MVP必須,可(E2E),MVP和歌山システム開発設計書,HTTP / DB / 管理画面,MVP中心機能の team 簡易マージがブック上で未カバーだったため追加。,,,,,対象,6-03,"=IF($W25=""対象"",IFERROR(IF(xlookup($D25,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,"""")<>"""",xlookup($D25,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$H:$H,""""),$S25),$S25),$S25)","=IF($W25=""対象"",IFERROR(IF(xlookup($D25,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,"""")<>"""",xlookup($D25,MVP_Minimum_Run!$C:$C,MVP_Minimum_Run!$I:$I,""""),$T25),$T25),$T25)",local-integration,local,partial,2チーム・関連テーブル seed,データ破壊的のため staging 非推奨
