仕様ID,機能/カテゴリ,確認内容,実施方式,実施環境,確認方法,対応テストファイル,実行コマンド,CI対象か,自動判定可否,手動確認要否,前提データ,PASS条件,備考,台帳状態,MVP前後,実施者,実施日,試験結果,証跡URLまたはログ要約,不備・差戻し内容,自動実行ログ参照,備考（実施時）
NF-010,通知・メール,JOB03: 認証失敗は 401/503。成功時は summary に sent/skipped/failed,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,cron・メールモック,JOB03,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-CR-DBF-07,Cron｜前日最終（内部分岐）,variant=held（status confirmed）,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,案内,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-CR-DBF-10,Cron｜前日最終（内部分岐）,variant=pending_matching（status locked）,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,案内,MVP_Minimum_Run,保留,任意,,,,,,,
NF-001,通知・メール,failed を pending に戻し再送可能,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,failed 通知 seed,再送,MVP_Minimum_Run,保留,任意,,,,,,,
MVP-NOTIF-401,通知一覧,未認証 GET /api/admin/notifications は 401,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL・Cookie なし,401,MVP_Minimum_Run,完了,必須,,,,,,,
TC-EX-NR-200S,管理API｜notifications retry,再送結果 sent（lib）,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,admin・seed,sent,MVP_Minimum_Run,保留,任意,,,,,,,
CHK-001,管理API｜checkins,当日チェックインを新規登録できる,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,当日 seed・admin,登録成功,MVP_Minimum_Run,保留,任意,,,,,,,
CHK-002,管理API｜checkins,同一開催日・同一チームの再登録は upsert,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,同上,重複なし,MVP_Minimum_Run,保留,任意,,,,,,,
MRG-001,管理API｜team-merge,source team を target team へ統合できる,手動または未実装結合,both,manual,,,no,no,yes,2 チーム seed,統合成功,MVP_Minimum_Run。staging 非推奨,手動のみ,任意,,,,,,,
TC-EX-WX-200GO,管理API｜weather-decision,go 正常,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,go,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-WX-200CIM,管理API｜weather-decision,cancel immediate 正常,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,即時中止,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-WX-200CDB,管理API｜weather-decision,cancel day_before_17 フラグ,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,前日一括（day_before_17）系,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-OP-200,管理API｜operational-cancel,正常中止,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed,中止,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-OP-200IM,管理API｜operational-cancel,即時通知付き,未実装,local,local-integration-vitest,,npm run test:integration,no,no,yes,seed+モック,通知,MVP_Minimum_Run,保留,任意,,,,,,,
TC-EX-UN-200,管理API｜matching undo,admin_undo_afternoon_matching: 成功,Vitest + ローカル Supabase,local,local-integration-vitest,tests/integration/admin-undo-matching.integration.test.ts,npm run test:integration,no,yes,no,.env.test・結合専用DB,RPC success・status locked,MVP_Minimum_Run。HTTP POST undo の未認証は TC-EX-UN-401,完了,必須,,,,,,,
TC-EX-UN-401,管理API｜matching undo,未認証 POST /api/admin/matching/undo は 401,Staging fetch,staging,staging-smoke,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,no,yes,no,STAGING_BASE_URL・Cookie なし,401,MVP_Minimum_Run。TC-EX-UN-200 は RPC ローカル縦割り,完了,必須,,,,,,,
P0,Release_Gate,下位 P0-01〜P0-07 をすべて満たしリリース前の「運用・環境」ゲートとする（単一画面操作ではない）,チェックリスト手動,both,manual,,,no,no,yes,docs/qa/Release_Gate_P0.md。元Excelに Release_Gate シートがあれば同シートの優先度P0行を合わせる,観点7行すべてに試験結果の根拠が取れている,親行。MVP_Minimum_Run リリースゲートP0。Vitest 対象外,手動のみ,必須,,,,,,,
P0-01,Release_Gate｜P0,環境変数: 本番/ステージの必須URL・秘匿キーが漏れなく設定され本番にダミー/未設定が残っていない,チェックリスト手動,both,manual,,,no,no,yes,対象デプロイの env / ホスト設定,必須の変数が揃い欠落がない,子観点。詳細 sample は Release_Gate_P0.md,手動のみ,必須,,,,,,,
P0-02,Release_Gate｜P0,Cron: スケジュール先URL・CRON_SECRET（Bearer）・締切/マッチ/通知等の想定ルートが運用方針どおり,チェックリスト手動,both,manual,,,no,no,yes,STAGING_BASE_URL・Cron URL 定義,到達性と 401/503 等。npm run test:staging 利用可,子観点。CK-* 手動合わせ,手動のみ,必須,,,,,,,
P0-03,Release_Gate｜P0,Supabase: 本番(または本番想定)の接続・マイグレーション・RLS/ポリシー・キー役割,チェックリスト手動,both,manual,,,no,no,yes,本番プロジェクト/ポリシー,接続と権限分離が方針どおり,子観点,手動のみ,必須,,,,,,,
P0-04,Release_Gate｜P0,Resend: ドメイン・API キー・差出人。テスト送信で到達を確認,チェックリスト手動,both,manual,,,no,no,yes,Resend 有効な環境,少なくともテストでメール到達,子観点,手動のみ,必須,,,,,,,
P0-05,Release_Gate｜P0,前日運用: 前日 17:30 前後を想定した前日最終系 JOB/運用フローが合意内で実行可能,チェックリスト手動,both,manual,,,no,no,yes,—,前日最終の役割と監視が共有されている,子観点,手動のみ,必須,,,,,,,
P0-06,Release_Gate｜P0,スモーク: ①/ ②予約:カレンダー等→開催日1日 ③管理:/admin/login→/admin/dashboard ④API:Release_Gate_P0.md P0-06 節の表 or npm run test:staging,チェックリスト手動,both,manual,,,no,no,yes,対象 base URL。任意 .env.staging,致命5xx/白画面なし。手順の全文: docs/qa/Release_Gate_P0.md（P0-06 節）,子観点。AL 系と重複可,手動のみ,必須,,,,,,,
P0-07,Release_Gate｜P0,セキュリティ: 個人情報・ログ秘匿・HTTPS・管理画面の認可が方針に合う,チェックリスト手動,both,manual,,,no,no,yes,—,観測上の違反なし,子観点。AL-001〜003 と重複可,手動のみ,必須,,,,,,,
META-CI-001,（メタ）CI ゲート,GitHub Actions で毎 PR npm run test:unit が成功する,CI,GitHub Actions,unit-vitest,tests/unit/**/*.test.ts,,,,,,,,,,,,,,,,
